worldcom boss  left books alone  former worldcom boss bernie ebbers  who is accused of overseeing an $11bn (£5,,,,,,,,,,,,,, worldcom s problems mounted  however  as competition increased and the telecoms boom petered out, when the firm finally collapsed  shareholders lost about $180bn and 20 000 workers lost their jobs, mr ebbers  trial is expected to last two months and if found guilty the former ceo faces a substantial jail sentence, he has firmly declared his innocence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   the settlement is very significant in holding these outside directors at least partially personally responsible   william lerach  the lawyer leading the class action suit against enron  said,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  the other two major ratings agencies - fitch and moody s have long since upped their rating of russia s sovereign debt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  first shown as a concept car at the 2003 north american international auto show in detroit  the v8 vantage will be available in the uk in late summer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  but the us bankruptcy court judge in texas granted yukos an injunction that barred gazprom and its lenders from taking part,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  rival local club manchester city has pleaded with visiting fans not to protest inside its ground when the two teams play a televised match on sunday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  several of ireland s biggest companies saw their market value hit recent highs on thursday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 however  the authorities have turned a blind eye to the many other firms selling insurance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 under the agreement  it will supply india with 7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  a previous estimate of 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  recent housing market surveys have indicated that the uk property market has cooled in recent months after several years of rapid growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 analysts say that hiring and firing staff is still too difficult and expensive  hampering the development of small- and medium-sized businesses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 this could see its workforce trimmed from 155 000 to 110 000 staff by 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 uk banking icon barclays was founded more than 300 years ago; it has operations in over 60 countries and employs 76 200 staff worldwide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   the government proposal states that foreign investment of up to 100% will be allowed on the  automatic route  in the construction sector  on projects including housing  hotels  resorts  hospitals and educational establishments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 new eu trade commissioner peter mandelson said on tuesday that the two sides had agreed to reopen talks in the aircraft subsidies row  which led to tit-for-tat wto filings in last autumn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 both companies are listed on the new york stock exchange s (nyse) technology-dominated nasdaq index,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8% stake in southcorp on 13 january,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 understanding your work personality allows you to work in terms of your own style,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 uk coal said it was making  significant progress  in shaking up the business,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  vodafone is going to need to put a lot of money into japan if it wants to rebuild the business   tetsuro tsusaka  a telecoms analyst with deutsche bank  told reuters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  yugansk was auctioned to help pay off $27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   the figures support recent data from the government and other bodies which all point to a slowdown in the housing market,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3187 euros per us dollar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 the days of arcade classics such as space invaders  pac-man and donkey kong are long gone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  steelmakers have been enjoying record profits as demand for steel has risen  driven by the booming economies of countries such as china and india,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   the companies will work with clinical investigators to evaluate tysabri-treated patients and will consult with leading experts to better understand the possible risk of pml   the two firms said in a statement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 the fed has been gradually easing rates up since the summer  with quarter percentage point rises in june  august and september,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 the european commission acknowledged last month that it would not impose sanctions on countries who break the rules,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  he is expected to present his conclusions at an imf meeting in washington during april,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 in percentage terms  an average of 44% of respondents in each country said the world economy was getting worse  compared to 34% who said it was improving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 it leaves gdp up 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 the main project of atomstroieksport is the building of a nuclear plant in iran  which has been a source of tension between russia and the us,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  before christmas  cairn revealed that drilling to the north of the field in rajasthan had been disappointing  which caused its shares to lose 18% in one day,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  in sri lanka  some observers have said that as much as 1% of annual growth may be lost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  the largest claims came from the us  which was struck by four hurricanes  and japan  which suffered the highest concentration of typhoons for decades plus a major earthquake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5% of the economy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 sales will dip by at least a$30m after the indian ocean tsunami devastated many holiday destinations  qantas said,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 two former parmalat auditors will stand trial later this month for their role in the firm s collapse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8bn) in 2004  the bank said in a statement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 the german economy has been faltering  with unemployment levels rising to a seventy-year high of 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 across europe  meanwhile  all stock exchange-listed companies are currently in the process of moving to new and complex accounting standards called ifrs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8% by 2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4bn (£5bn),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 the sec also found that disney did not disclose that a 50% disney-owned subsidiary company - lifetime - employed the wife of current disney director john bryson  and that she earned more than $1m a year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 but without the otoku marketing spend it would have made a profit - and expects to move into the black in 2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  tourism is a vital part of the economies of the stricken countries  providing jobs for 19 million people in the south east asian region  according to the world travel and tourism council (wttc),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 it s a consolidation of the industry with new projects and expansions that will support greater production,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 but clothing and footwear sales were said to be generally better than december  while department stores also had a good month,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  according to the reuters news agency  35 of the companies sued on thursday are italian while the remaining 10 are international,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  the 337 000 new jobs added to us payrolls in october was twice the 169 000 figure that wall street economists had forecast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 france s total is expected to join the exxonmobil scheme  dubbed qatargas-2  on monday  taking 5 million tonnes of lng a year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  ryanair chairman david bonderman said that the 737-800 had  significantly reduced our unit operating costs and allowed us to reduce air fares each year for the last five years ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 oil prices are finishing the year roughly 30% higher than they were in january 2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  there will be a period of adjustment required   said wto spokesman keith rockwell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  poverty is potentially the most important impact of this natural disaster   said adb chief economist ifzal ali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 the bankruptcy followed its admission in 2002 that it illegally booked expenses and inflated profits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 altogether  some 1 100 flights were cancelled over the holiday long weekend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  at that point in time   mr sullivan said  referring to the first false entries in late 2000   i knew it was wrong and i knew it was against the law  but i thought we would get through it in the short term,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 the sale has destroyed yukos  once the owner of yuganskneftegas  said founder mikhail khodorkovsky,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  overall  the housing market activity is slowing down and that is backed up by the mortgage lending and the mortgage approvals data   said mark miller  at hbos treasury services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 the deal will be financed with $15bn of shares as well as a $1bn special dividend paid to at&t shareholders,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 if turkcell does back out  mtn - the south african firm which lost out in the original tender - may well be back in the running,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 this was helped by the positive impact of  compact  newspaper editions in ireland and the uk  it said,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 despite the fact that product piracy is a major problem  foreign companies have only occasionally won cases and the compensation awarded has usually been small,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 the watchdog is said to believe the executive pair were party to  privileged information  surrounding the issue of the bonds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 in january  umbro announced its sponsorship agreement with chelsea  which gave umbro the lucrative right to make replica shirts  would end in 2006  five years earlier than expected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 nasdaq will not make money from the sale  only investors who bought shares in the private placings  the filing documents said,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 the calculations demonstrated what many russian analysts already knew: that increasing the tax rate increases the amount that managers steal  since undeclared income becomes relatively more valuable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 according to reuters  they plan to seize 12 900 acres (5 200 hectares) from the 32 000 acre (13 000 hectare) farm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 the gains were led by a 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 according to the report  intifada  closures and palestinian economic crisis: an assessment  there is a close link between the number of closures - both border closures and internal closures between cities - and palestinian economic problems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  the new government is encouraging companies to pay taxes by scrapping existing corruption investigations and destroying all tax records from before 1 january  three days before president saakashvili was elected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 when automated phone message systems are taken out of the equation  where customers have to pick their way through multiple options and messages  the number of abandoned calls is even higher - a sixth of all callers give up rather than wait,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   what i do after i leave aer lingus is still too early to say   mr walsh told ap news agency on wednesday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 meanwhile  demand for defibrillators  which give the heart a small electric shock when an irregular heartbeat or rhythm is detected  is expected to increase  analysts said,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  manufacturers  domestic sales growth fell back slightly in the quarter  the survey of 5 196 firms found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 the imf however remains cautious about what it sees as a lack of transparency in government actions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  the eurozone s two biggest economies left the pact in tatters in november 2003 when they persuaded fellow eu members to put the threat of penalties for deficit breaches on hold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  the organisers of the brazilian gathering  which brings together thousands of campaigners against globalisation  for fair trade  and many other causes  have promised to set an alternative agenda to that of the swiss summit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 the cips said that the strong pound had dented exports while rising oil and metals prices had kept costs high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2bn),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  further details of how investors will be able to claim their share of the compensation package will be announced in the new year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 mr sullivan  42  has already pleaded guilty to fraud and will be sentenced following mr ebbers  trial  where he is appearing as a prosecution witness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  the fao has urged the world trade organisation to swiftly conclude negotiations to liberalise trade  easing developing countries  access to the world market,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 the extent of damages will be assessed in the new year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 nevertheless  the egyptian government has spoken for years about privatising one of the big four state banks - banque misr  national bank of egypt  banque du caire and bank of alexandria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  last year  almost one in six cars sold by the bmw group was a mini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  bosch has stopped production of the part but expects to restart by 2 february,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  mr lamberty explained that the company did not plan to pursue germany s air traffic controllers  organisation or the airport authority but wanted instead to see if it was possible to sue the german federal agencies that gave the orders,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  parents and relatives will be able to top up the fund with up to £1 200 a year  which will grow free of income and capital gains tax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 according to mr mendis  half the imf support could come from a freeze on debt repayments  which would free up resources immediately,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 the ruling was a response to the involvement in telecoms and airport projects by turkish companies  which hardliners accused of doing business with israel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9bn) investment deal would be signed in march or early april,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 remittances now represent more than 2% of the country s gdp  according to the bank of mexico s figures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  this legal prosecution can be considered an attempt by the government to force soros foundation-kazakhstan to cease its activities in kazakhstan and shut its doors for kazakh citizens and organisations   the osi said,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  in fact  the markets are being perfectly rational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 if existing promises need to be changed  those changes should be made sooner rather than later   mr greenspan said,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 women now make up more than half of all graduates from saudi universities but only 5% of the workforce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 meanwhile  the benefit claimant total fell 11 000 to 813 200 last month,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 reports said cnpc had been offered 20% of yugansk in return for providing finance but the company opted for a long-term oil supply deal instead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 energy and telecommunication stocks performed particularly well  recording an 8%-10% rise since monday morning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 correcting the error would mean reducing current expenditure and increasing net investment  thus helping mr brown to meet his  golden rule  of borrowing only to invest over the economic cycle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 reuters also beat its savings target for 2004  delivering £234m of cuts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 the government figures are the first official confirmation of falls in the market at the end of 2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4% at $20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24  against xstrata s bid of a$6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 he was returning from china  where he had headed when cao announced its trading debacle in late-november,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 the german and danish governments argue that feta does not relate to a specific geographical area and that their firms have been producing and exporting the cheese for years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ahead of talks with the lse on friday  the pan-european bourse said it may be prepared to make its offer in cash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 but in recent weeks an unusual warmth has crept into relations between the two countries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 absa currently has a market value of about $8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 markets responded by pushing the euro lower  in the expectation that the rhetoric - and the pressure - is unlikely to ease ahead of a meeting of the g7 industrialised countries next week,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
